uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
DF,OUTRAS,HOSPITAL,"< 9",M,4
DF,OUTRAS,IGNORADO,"< 9",F,1
DF,COVID,HOSPITAL,"< 9",M,1
DF,PNEUMONIA,HOSPITAL,"< 9",M,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,3
DF,SEPTICEMIA,HOSPITAL,"< 9",M,5
ES,OUTRAS,DOMICILIO,"< 9",F,1
ES,OUTRAS,HOSPITAL,"< 9",F,3
ES,OUTRAS,HOSPITAL,"< 9",M,2
ES,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
ES,PNEUMONIA,HOSPITAL,"< 9",F,1
ES,PNEUMONIA,HOSPITAL,"< 9",M,2
ES,SEPTICEMIA,HOSPITAL,"< 9",F,3
ES,SEPTICEMIA,HOSPITAL,"< 9",M,2
GO,OUTRAS,HOSPITAL,"< 9",F,4
GO,OUTRAS,HOSPITAL,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,3
GO,SEPTICEMIA,HOSPITAL,"< 9",M,4
MA,OUTRAS,DOMICILIO,"< 9",M,1
MA,OUTRAS,HOSPITAL,"< 9",F,3
MA,OUTRAS,HOSPITAL,"< 9",M,8
MA,OUTRAS,OUTRO,"< 9",F,2
MA,SEPTICEMIA,HOSPITAL,"< 9",F,3
MG,OUTRAS,HOSPITAL,"< 9",F,12
MG,OUTRAS,HOSPITAL,"< 9",M,13
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,COVID,HOSPITAL,"< 9",F,1
MG,INDETERMINADA,HOSPITAL,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
MG,PNEUMONIA,HOSPITAL,"< 9",F,1
MG,PNEUMONIA,HOSPITAL,"< 9",M,1
MG,SEPTICEMIA,HOSPITAL,"< 9",F,5
MG,SEPTICEMIA,HOSPITAL,"< 9",M,7
MS,OUTRAS,DOMICILIO,"< 9",M,1
MS,OUTRAS,HOSPITAL,"< 9",F,2
MS,OUTRAS,HOSPITAL,"< 9",M,7
MS,SEPTICEMIA,HOSPITAL,"< 9",F,1
MS,SEPTICEMIA,HOSPITAL,"< 9",M,2
MT,OUTRAS,DOMICILIO,"< 9",F,1
MT,OUTRAS,HOSPITAL,"< 9",F,1
MT,OUTRAS,HOSPITAL,"< 9",M,4
MT,OUTRAS,IGNORADO,"< 9",F,1
MT,OUTRAS,IGNORADO,"< 9",M,1
MT,INDETERMINADA,IGNORADO,"< 9",M,2
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
MT,SEPTICEMIA,HOSPITAL,"< 9",F,2
MT,SEPTICEMIA,HOSPITAL,"< 9",M,1
PA,OUTRAS,HOSPITAL,"< 9",F,1
PA,OUTRAS,HOSPITAL,"< 9",M,7
PA,OUTRAS,OUTRO,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
PA,PNEUMONIA,HOSPITAL,"< 9",F,1
PA,SEPTICEMIA,HOSPITAL,"< 9",F,1
PB,OUTRAS,DOMICILIO,"< 9",M,3
PB,OUTRAS,HOSPITAL,"< 9",F,4
PB,OUTRAS,HOSPITAL,"< 9",M,4
PB,COVID,HOSPITAL,"< 9",M,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
PB,PNEUMONIA,HOSPITAL,"< 9",M,2
PB,SEPTICEMIA,HOSPITAL,"< 9",F,2
PB,SEPTICEMIA,HOSPITAL,"< 9",M,2
PE,OUTRAS,DOMICILIO,"< 9",F,1
PE,OUTRAS,HOSPITAL,"< 9",F,11
PE,OUTRAS,HOSPITAL,"< 9",M,18
PE,OUTRAS,VIA_PUBLICA,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,4
PE,SEPTICEMIA,HOSPITAL,"< 9",F,3
PE,SEPTICEMIA,HOSPITAL,"< 9",M,6
PE,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
PE,SRAG,HOSPITAL,"< 9",F,1
PI,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PR,OUTRAS,HOSPITAL,"< 9",F,5
PR,OUTRAS,HOSPITAL,"< 9",M,6
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
PR,PNEUMONIA,HOSPITAL,"< 9",F,2
PR,SEPTICEMIA,HOSPITAL,"< 9",F,4
PR,SEPTICEMIA,HOSPITAL,"< 9",I,1
PR,SEPTICEMIA,HOSPITAL,"< 9",M,5
RJ,OUTRAS,DOMICILIO,"< 9",F,1
RJ,OUTRAS,HOSPITAL,"< 9",F,33
RJ,OUTRAS,HOSPITAL,"< 9",M,26
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
RJ,COVID,HOSPITAL,"< 9",F,1
RJ,COVID,HOSPITAL,"< 9",M,2
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
RJ,PNEUMONIA,HOSPITAL,"< 9",F,1
RJ,PNEUMONIA,HOSPITAL,"< 9",M,2
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
RJ,SEPTICEMIA,HOSPITAL,"< 9",F,15
RJ,SEPTICEMIA,HOSPITAL,"< 9",M,14
RJ,SRAG,HOSPITAL,"< 9",M,2
RN,OUTRAS,HOSPITAL,"< 9",F,1
RN,OUTRAS,HOSPITAL,"< 9",M,2
RN,COVID,HOSPITAL,"< 9",F,1
RN,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
RN,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
RO,OUTRAS,HOSPITAL,"< 9",M,2
RO,PNEUMONIA,HOSPITAL,"< 9",M,2
RO,SEPTICEMIA,HOSPITAL,"< 9",M,2
RR,OUTRAS,HOSPITAL,"< 9",F,2
RS,OUTRAS,DOMICILIO,"< 9",M,1
RS,OUTRAS,HOSPITAL,"< 9",F,13
RS,OUTRAS,HOSPITAL,"< 9",M,11
RS,OUTRAS,IGNORADO,"< 9",M,1
RS,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
RS,COVID,IGNORADO,"< 9",M,1
RS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
RS,SEPTICEMIA,HOSPITAL,"< 9",F,6
RS,SEPTICEMIA,HOSPITAL,"< 9",M,13
RS,SEPTICEMIA,IGNORADO,"< 9",M,1
SC,OUTRAS,DOMICILIO,"< 9",F,2
SC,OUTRAS,DOMICILIO,"< 9",M,1
SC,OUTRAS,HOSPITAL,"< 9",F,5
SC,OUTRAS,HOSPITAL,"< 9",M,6
SC,COVID,HOSPITAL,"< 9",M,1
SC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
SC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,3
SC,PNEUMONIA,HOSPITAL,"< 9",F,2
SC,PNEUMONIA,HOSPITAL,"< 9",M,1
SC,SEPTICEMIA,HOSPITAL,"< 9",F,2
SC,SEPTICEMIA,HOSPITAL,"< 9",M,4
SE,OUTRAS,HOSPITAL,"< 9",F,2
SE,COVID,HOSPITAL,"< 9",F,1
SE,COVID,HOSPITAL,"< 9",M,1
SE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
SE,PNEUMONIA,HOSPITAL,"< 9",M,1
SE,SEPTICEMIA,HOSPITAL,"< 9",F,1
SE,SEPTICEMIA,HOSPITAL,"< 9",M,3
SP,OUTRAS,DOMICILIO,"< 9",F,2
SP,OUTRAS,DOMICILIO,"< 9",M,2
SP,OUTRAS,HOSPITAL,"< 9",F,39
SP,OUTRAS,HOSPITAL,"< 9",I,2
SP,OUTRAS,HOSPITAL,"< 9",M,59
SP,OUTRAS,IGNORADO,"< 9",F,2
SP,OUTRAS,IGNORADO,"< 9",M,5
SP,OUTRAS,OUTRO,"< 9",M,1
SP,COVID,HOSPITAL,"< 9",M,2
SP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,6
SP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
SP,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
SP,PNEUMONIA,DOMICILIO,"< 9",F,1
SP,PNEUMONIA,HOSPITAL,"< 9",F,1
SP,PNEUMONIA,HOSPITAL,"< 9",M,3
SP,SEPTICEMIA,HOSPITAL,"< 9",F,12
SP,SEPTICEMIA,HOSPITAL,"< 9",M,21
SP,SRAG,HOSPITAL,"< 9",M,2
TO,OUTRAS,HOSPITAL,"< 9",F,1
TO,OUTRAS,HOSPITAL,"< 9",M,1
TO,PNEUMONIA,DOMICILIO,"< 9",M,1
TO,SEPTICEMIA,HOSPITAL,"< 9",F,2
TO,SEPTICEMIA,HOSPITAL,"< 9",M,2
AC,OUTRAS,DOMICILIO,"10 - 19",M,1
AL,SEPTICEMIA,HOSPITAL,"10 - 19",F,1
AM,OUTRAS,HOSPITAL,"10 - 19",M,2
AM,INDETERMINADA,DOMICILIO,"10 - 19",M,1
AM,PNEUMONIA,HOSPITAL,"10 - 19",M,1
BA,OUTRAS,DOMICILIO,"10 - 19",F,1
BA,OUTRAS,HOSPITAL,"10 - 19",F,1
BA,OUTRAS,HOSPITAL,"10 - 19",M,1
BA,OUTRAS,VIA_PUBLICA,"10 - 19",F,1
BA,SEPTICEMIA,DOMICILIO,"10 - 19",M,1
CE,OUTRAS,HOSPITAL,"10 - 19",M,2
CE,OUTRAS,IGNORADO,"10 - 19",M,2
CE,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
CE,PNEUMONIA,HOSPITAL,"10 - 19",M,1
DF,OUTRAS,HOSPITAL,"10 - 19",F,1
DF,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
DF,COVID,HOSPITAL,"10 - 19",F,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
ES,OUTRAS,HOSPITAL,"10 - 19",F,3
ES,OUTRAS,HOSPITAL,"10 - 19",M,2
ES,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
GO,OUTRAS,HOSPITAL,"10 - 19",M,2
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"10 - 19",F,1
MA,OUTRAS,HOSPITAL,"10 - 19",F,2
MG,OUTRAS,HOSPITAL,"10 - 19",F,1
MG,OUTRAS,HOSPITAL,"10 - 19",M,1
MG,OUTRAS,OUTRO,"10 - 19",M,3
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"10 - 19",M,2
MG,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",M,1
MG,PNEUMONIA,HOSPITAL,"10 - 19",M,1
MG,SEPTICEMIA,HOSPITAL,"10 - 19",F,1
MS,OUTRAS,HOSPITAL,"10 - 19",F,1
MS,OUTRAS,HOSPITAL,"10 - 19",M,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",M,1
MT,OUTRAS,HOSPITAL,"10 - 19",M,1
MT,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
MT,SEPTICEMIA,IGNORADO,"10 - 19",F,1
PA,OUTRAS,DOMICILIO,"10 - 19",F,1
PA,OUTRAS,HOSPITAL,"10 - 19",F,1
PA,OUTRAS,HOSPITAL,"10 - 19",M,1
PA,OUTRAS,OUTRO,"10 - 19",M,1
PA,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
PB,OUTRAS,HOSPITAL,"10 - 19",F,2
PB,OUTRAS,OUTRO,"10 - 19",M,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"10 - 19",M,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
PB,PNEUMONIA,DOMICILIO,"10 - 19",M,1
PB,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
PE,OUTRAS,DOMICILIO,"10 - 19",M,1
PE,OUTRAS,HOSPITAL,"10 - 19",F,2
PE,OUTRAS,HOSPITAL,"10 - 19",M,3
PE,OUTRAS,OUTRO,"10 - 19",M,1
PE,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
PE,PNEUMONIA,HOSPITAL,"10 - 19",F,1
PE,SEPTICEMIA,HOSPITAL,"10 - 19",F,1
PE,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
PI,OUTRAS,HOSPITAL,"10 - 19",M,1
PR,OUTRAS,HOSPITAL,"10 - 19",F,1
PR,OUTRAS,HOSPITAL,"10 - 19",M,3
PR,OUTRAS,VIA_PUBLICA,"10 - 19",F,1
PR,OUTRAS,VIA_PUBLICA,"10 - 19",M,3
PR,COVID,HOSPITAL,"10 - 19",F,1
PR,PNEUMONIA,DOMICILIO,"10 - 19",F,1
PR,PNEUMONIA,HOSPITAL,"10 - 19",F,1
RJ,OUTRAS,HOSPITAL,"10 - 19",F,3
RJ,OUTRAS,HOSPITAL,"10 - 19",M,6
RJ,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",M,2
RJ,PNEUMONIA,HOSPITAL,"10 - 19",M,1
RJ,SEPTICEMIA,HOSPITAL,"10 - 19",F,2
RJ,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
RN,OUTRAS,HOSPITAL,"10 - 19",M,1
RO,OUTRAS,HOSPITAL,"10 - 19",F,1
RO,COVID,HOSPITAL,"10 - 19",F,1
RS,OUTRAS,HOSPITAL,"10 - 19",F,3
RS,OUTRAS,HOSPITAL,"10 - 19",M,1
RS,OUTRAS,OUTRO,"10 - 19",F,1
RS,OUTRAS,OUTRO,"10 - 19",M,2
RS,COVID,HOSPITAL,"10 - 19",F,1
RS,COVID,HOSPITAL,"10 - 19",M,1
RS,PNEUMONIA,HOSPITAL,"10 - 19",F,1
RS,SEPTICEMIA,IGNORADO,"10 - 19",F,1
SC,OUTRAS,HOSPITAL,"10 - 19",M,2
SP,OUTRAS,DOMICILIO,"10 - 19",M,1
SP,OUTRAS,HOSPITAL,"10 - 19",F,5
SP,OUTRAS,HOSPITAL,"10 - 19",M,9
SP,OUTRAS,OUTRO,"10 - 19",M,2
SP,OUTRAS,OUTROS_SERVICOS_SAUDE,"10 - 19",F,1
SP,OUTRAS,VIA_PUBLICA,"10 - 19",M,3
SP,COVID,HOSPITAL,"10 - 19",F,1
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",M,1
SP,PNEUMONIA,HOSPITAL,"10 - 19",F,2
SP,PNEUMONIA,HOSPITAL,"10 - 19",M,1
SP,SEPTICEMIA,HOSPITAL,"10 - 19",F,2
SP,SEPTICEMIA,HOSPITAL,"10 - 19",M,4
AC,OUTRAS,OUTRO,"20 - 29",M,1
AC,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
AC,PNEUMONIA,HOSPITAL,"20 - 29",M,2
AC,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
AL,OUTRAS,DOMICILIO,"20 - 29",M,2
AL,OUTRAS,HOSPITAL,"20 - 29",F,1
AL,OUTRAS,HOSPITAL,"20 - 29",M,3
AL,OUTRAS,VIA_PUBLICA,"20 - 29",M,2
AM,OUTRAS,DOMICILIO,"20 - 29",F,1
AM,OUTRAS,DOMICILIO,"20 - 29",M,1
AM,OUTRAS,HOSPITAL,"20 - 29",M,2
AM,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
AM,COVID,HOSPITAL,"20 - 29",F,2
AM,COVID,HOSPITAL,"20 - 29",M,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,1
AM,PNEUMONIA,HOSPITAL,"20 - 29",F,2
AM,SEPTICEMIA,HOSPITAL,"20 - 29",M,2
AP,OUTRAS,DOMICILIO,"20 - 29",F,1
AP,OUTRAS,HOSPITAL,"20 - 29",M,1
BA,OUTRAS,DOMICILIO,"20 - 29",F,1
BA,OUTRAS,DOMICILIO,"20 - 29",M,4
BA,OUTRAS,HOSPITAL,"20 - 29",F,4
BA,OUTRAS,HOSPITAL,"20 - 29",M,7
BA,OUTRAS,OUTRO,"20 - 29",M,1
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,2
BA,OUTRAS,VIA_PUBLICA,"20 - 29",F,3
BA,OUTRAS,VIA_PUBLICA,"20 - 29",M,2
BA,COVID,HOSPITAL,"20 - 29",F,1
BA,COVID,HOSPITAL,"20 - 29",M,3
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
BA,PNEUMONIA,HOSPITAL,"20 - 29",F,1
BA,PNEUMONIA,HOSPITAL,"20 - 29",M,1
BA,SEPTICEMIA,HOSPITAL,"20 - 29",F,2
BA,SEPTICEMIA,HOSPITAL,"20 - 29",M,2
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,2
CE,OUTRAS,DOMICILIO,"20 - 29",F,1
CE,OUTRAS,HOSPITAL,"20 - 29",M,2
CE,OUTRAS,IGNORADO,"20 - 29",M,1
CE,OUTRAS,VIA_PUBLICA,"20 - 29",F,1
CE,OUTRAS,VIA_PUBLICA,"20 - 29",M,2
CE,COVID,HOSPITAL,"20 - 29",F,1
CE,SEPTICEMIA,IGNORADO,"20 - 29",M,1
DF,OUTRAS,DOMICILIO,"20 - 29",M,2
DF,OUTRAS,HOSPITAL,"20 - 29",F,1
DF,OUTRAS,HOSPITAL,"20 - 29",M,2
DF,OUTRAS,OUTRO,"20 - 29",M,1
DF,OUTRAS,VIA_PUBLICA,"20 - 29",M,3
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",F,1
ES,OUTRAS,OUTRO,"20 - 29",M,2
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
ES,OUTRAS,VIA_PUBLICA,"20 - 29",M,2
ES,COVID,HOSPITAL,"20 - 29",F,1
ES,PNEUMONIA,HOSPITAL,"20 - 29",M,2
GO,OUTRAS,DOMICILIO,"20 - 29",F,1
GO,OUTRAS,DOMICILIO,"20 - 29",M,1
GO,OUTRAS,HOSPITAL,"20 - 29",M,1
GO,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,1
GO,SRAG,HOSPITAL,"20 - 29",M,1
MA,OUTRAS,DOMICILIO,"20 - 29",M,1
MA,OUTRAS,HOSPITAL,"20 - 29",M,1
MA,OUTRAS,OUTRO,"20 - 29",M,2
MA,SRAG,HOSPITAL,"20 - 29",M,1
MG,OUTRAS,DOMICILIO,"20 - 29",M,2
MG,OUTRAS,HOSPITAL,"20 - 29",F,1
MG,OUTRAS,HOSPITAL,"20 - 29",M,9
MG,OUTRAS,OUTRO,"20 - 29",M,1
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
MG,COVID,HOSPITAL,"20 - 29",F,1
MG,COVID,HOSPITAL,"20 - 29",M,1
MG,INDETERMINADA,OUTRO,"20 - 29",F,1
MG,PNEUMONIA,HOSPITAL,"20 - 29",M,3
MG,SEPTICEMIA,HOSPITAL,"20 - 29",M,4
MS,OUTRAS,HOSPITAL,"20 - 29",M,1
MS,PNEUMONIA,HOSPITAL,"20 - 29",F,1
MS,PNEUMONIA,HOSPITAL,"20 - 29",M,1
MT,OUTRAS,HOSPITAL,"20 - 29",F,1
MT,COVID,HOSPITAL,"20 - 29",F,1
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,1
MT,SEPTICEMIA,HOSPITAL,"20 - 29",F,1
MT,SEPTICEMIA,IGNORADO,"20 - 29",M,1
PA,OUTRAS,DOMICILIO,"20 - 29",M,2
PA,OUTRAS,HOSPITAL,"20 - 29",M,1
PA,OUTRAS,OUTRO,"20 - 29",M,1
PA,OUTRAS,VIA_PUBLICA,"20 - 29",F,1
PA,SEPTICEMIA,HOSPITAL,"20 - 29",F,1
PA,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
PA,SRAG,HOSPITAL,"20 - 29",F,1
PB,OUTRAS,HOSPITAL,"20 - 29",F,2
PB,OUTRAS,HOSPITAL,"20 - 29",M,1
PB,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
PB,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",M,1
PB,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
PB,SRAG,HOSPITAL,"20 - 29",M,2
PE,OUTRAS,DOMICILIO,"20 - 29",F,1
PE,OUTRAS,DOMICILIO,"20 - 29",M,3
PE,OUTRAS,HOSPITAL,"20 - 29",F,1
PE,OUTRAS,HOSPITAL,"20 - 29",M,10
PE,OUTRAS,OUTRO,"20 - 29",M,4
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
PE,OUTRAS,VIA_PUBLICA,"20 - 29",F,1
PE,OUTRAS,VIA_PUBLICA,"20 - 29",M,4
PE,COVID,HOSPITAL,"20 - 29",F,1
PE,COVID,HOSPITAL,"20 - 29",M,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,1
PE,PNEUMONIA,HOSPITAL,"20 - 29",M,1
PE,SEPTICEMIA,HOSPITAL,"20 - 29",F,2
PE,SEPTICEMIA,HOSPITAL,"20 - 29",M,2
PE,SRAG,HOSPITAL,"20 - 29",F,1
PI,OUTRAS,HOSPITAL,"20 - 29",M,1
PR,OUTRAS,DOMICILIO,"20 - 29",F,2
PR,OUTRAS,DOMICILIO,"20 - 29",M,5
PR,OUTRAS,HOSPITAL,"20 - 29",F,4
PR,OUTRAS,HOSPITAL,"20 - 29",M,8
PR,OUTRAS,OUTRO,"20 - 29",M,6
PR,OUTRAS,VIA_PUBLICA,"20 - 29",M,3
PR,COVID,HOSPITAL,"20 - 29",M,3
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,2
PR,PNEUMONIA,HOSPITAL,"20 - 29",M,1
PR,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
RJ,OUTRAS,DOMICILIO,"20 - 29",M,6
RJ,OUTRAS,HOSPITAL,"20 - 29",F,9
RJ,OUTRAS,HOSPITAL,"20 - 29",M,17
RJ,OUTRAS,OUTRO,"20 - 29",M,2
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",F,2
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,3
RJ,OUTRAS,VIA_PUBLICA,"20 - 29",M,4
RJ,COVID,HOSPITAL,"20 - 29",F,5
RJ,COVID,HOSPITAL,"20 - 29",M,2
RJ,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
RJ,INDETERMINADA,HOSPITAL,"20 - 29",M,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,2
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,2
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
RJ,PNEUMONIA,HOSPITAL,"20 - 29",F,3
RJ,PNEUMONIA,HOSPITAL,"20 - 29",M,1
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
RJ,SEPTICEMIA,HOSPITAL,"20 - 29",F,4
RJ,SEPTICEMIA,HOSPITAL,"20 - 29",M,3
RJ,SEPTICEMIA,OUTRO,"20 - 29",M,1
RN,OUTRAS,HOSPITAL,"20 - 29",M,2
